Ticker,TradeDate,Open,High,Low,Close,Volume,Change,ChangePercent
A,9/17/2013 12:00:00 AM,,,,,1578387,0.0885,0.2670
AAL,9/17/2013 12:00:00 AM,,,,,5634500,0.6244,3.5970
AAN,9/17/2013 12:00:00 AM,,,,,414138,0.7190,2.7230
AAON,9/17/2013 12:00:00 AM,,,,,118551,0.2821,1.7720
AAP,9/17/2013 12:00:00 AM,,,,,337160,0.2081,0.2630
AAPL,9/17/2013 12:00:00 AM,,,,,99756489,0.6802,1.1550
AAT,9/17/2013 12:00:00 AM,,,,,156242,-0.0615,-0.2300
AAWW,9/17/2013 12:00:00 AM,,,,,164808,-0.6400,-1.3650
AAXN,9/17/2013 12:00:00 AM,,,,,1165854,0.1000,0.7600
ABBV,9/17/2013 12:00:00 AM,,,,,7294962,1.4948,3.8850
ABC,9/17/2013 12:00:00 AM,,,,,933056,0.5934,1.0500
ABCB,9/17/2013 12:00:00 AM,,,,,39132,0.0580,0.3140
ABCD,9/17/2013 12:00:00 AM,,,,,2557,-0.0400,-2.6140
ABG,9/17/2013 12:00:00 AM,,,,,146025,0.4700,0.8880
ABM,9/17/2013 12:00:00 AM,,,,,164537,0.1085,0.4640
ABMD,9/17/2013 12:00:00 AM,,,,,164983,0.2000,0.8540
ABR,9/17/2013 12:00:00 AM,,,,,27975,0.0586,1.2550
ABT,9/17/2013 12:00:00 AM,,,,,4762207,-0.0359,-0.1140
ABUS,9/17/2013 12:00:00 AM,,,,,195039,0.1700,2.8520
ACAD,9/17/2013 12:00:00 AM,,,,,1898772,0.4700,2.0180
ACC,9/17/2013 12:00:00 AM,,,,,582799,0.0082,0.0280
ACCO,9/17/2013 12:00:00 AM,,,,,474270,0.1676,2.3480
ACGL,9/17/2013 12:00:00 AM,,,,,833607,0.1133,0.6380
ACHC,9/17/2013 12:00:00 AM,,,,,225980,1.1100,2.8070
ACHN,9/17/2013 12:00:00 AM,,,,,1086053,0.1500,2.0630
ACIW,9/17/2013 12:00:00 AM,,,,,817060,0.1725,1.3450
ACLS,9/17/2013 12:00:00 AM,,,,,90491,0.1200,1.3450
ACM,9/17/2013 12:00:00 AM,,,,,594700,0.1200,0.3970
ACN,9/17/2013 12:00:00 AM,,,,,2549122,0.2422,0.3540
ACNB,9/17/2013 12:00:00 AM,,,,,1308,-0.2279,-1.5740
ACOR,9/17/2013 12:00:00 AM,,,,,220709,-0.3600,-1.0010
ACRE,9/17/2013 12:00:00 AM,,,,,389428,0.0922,1.1170
ACTG,9/17/2013 12:00:00 AM,,,,,337362,0.3378,1.6440
ACXM,9/17/2013 12:00:00 AM,,,,,204393,0.4000,1.5260
ADBE,9/17/2013 12:00:00 AM,,,,,6826894,0.0000,0.0000
ADC,9/17/2013 12:00:00 AM,,,,,35104,0.1556,0.7100
ADI,9/17/2013 12:00:00 AM,,,,,1089164,0.1674,0.3930
ADM,9/17/2013 12:00:00 AM,,,,,3894197,0.3612,1.1160
ADP,9/17/2013 12:00:00 AM,,,,,2295138,0.0535,0.0810
ADS,9/17/2013 12:00:00 AM,,,,,285582,4.6019,2.2870
ADSK,9/17/2013 12:00:00 AM,,,,,2514372,0.2400,0.6140
ADT,9/17/2013 12:00:00 AM,,,,,2747631,-0.1399,-0.3620
ADTN,9/17/2013 12:00:00 AM,,,,,332350,0.4715,1.9560
ADUS,9/17/2013 12:00:00 AM,,,,,195847,2.3300,9.0100
AE,9/17/2013 12:00:00 AM,,,,,13719,-0.0725,-0.1300
AEE,9/17/2013 12:00:00 AM,,,,,1643910,0.1835,0.6590
AEGN,9/17/2013 12:00:00 AM,,,,,160657,0.4500,1.9760
AEIS,9/17/2013 12:00:00 AM,,,,,405060,-0.3100,-1.6960
AEL,9/17/2013 12:00:00 AM,,,,,718249,0.1149,0.5700
AEO,9/17/2013 12:00:00 AM,,,,,5158137,0.2202,1.7500
AEP,9/17/2013 12:00:00 AM,,,,,2611883,0.3161,0.8870
AES,9/17/2013 12:00:00 AM,,,,,5708178,-0.0254,-0.2250
AET,9/17/2013 12:00:00 AM,,,,,4496783,-0.9093,-1.3970
AFG,9/17/2013 12:00:00 AM,,,,,213534,0.2489,0.5600
AFL,9/17/2013 12:00:00 AM,,,,,2723260,0.1557,0.5660
AFSI,9/17/2013 12:00:00 AM,,,,,1163950,0.1403,0.8640
AGCO,9/17/2013 12:00:00 AM,,,,,835668,-0.0477,-0.0840
AGEN,9/17/2013 12:00:00 AM,,,,,8990450,0.2800,10.2190
AGIO,9/17/2013 12:00:00 AM,,,,,85217,-0.8300,-3.0860
AGM,9/17/2013 12:00:00 AM,,,,,14511,-0.0089,-0.0310
AGN,9/17/2013 12:00:00 AM,,,,,858388,0.8575,0.6430
AGNC,9/17/2013 12:00:00 AM,,,,,4644921,-0.0596,-0.4720
AGO,9/17/2013 12:00:00 AM,,,,,1364234,0.2293,1.2820
AGX,9/17/2013 12:00:00 AM,,,,,143097,-0.4705,-2.5510
AGYS,9/17/2013 12:00:00 AM,,,,,55912,0.1300,1.0950
AHH,9/17/2013 12:00:00 AM,,,,,92791,0.0960,1.3700
AHL,9/17/2013 12:00:00 AM,,,,,262591,0.1179,0.3560
AHT,9/17/2013 12:00:00 AM,,,,,249720,0.0205,0.2460
AI,9/17/2013 12:00:00 AM,,,,,134353,0.2260,2.0040
AIG,9/17/2013 12:00:00 AM,,,,,8975622,0.7069,1.5500
AIMC,9/17/2013 12:00:00 AM,,,,,40544,0.2291,0.9340
AIN,9/17/2013 12:00:00 AM,,,,,110160,1.1108,3.5910
AIR,9/17/2013 12:00:00 AM,,,,,312109,0.2471,0.9460
AIT,9/17/2013 12:00:00 AM,,,,,153475,0.6461,1.4410
AIV,9/17/2013 12:00:00 AM,,,,,475958,-0.2373,-0.9740
AIZ,9/17/2013 12:00:00 AM,,,,,844250,0.1258,0.2500
AJG,9/17/2013 12:00:00 AM,,,,,399213,0.2329,0.6130
AJRD,9/17/2013 12:00:00 AM,,,,,358202,0.3400,2.1160
AKAM,9/17/2013 12:00:00 AM,,,,,1191837,0.2100,0.4090
AKR,9/17/2013 12:00:00 AM,,,,,131858,-0.0414,-0.2040
AKRX,9/17/2013 12:00:00 AM,,,,,471010,0.4700,2.5500
AKS,9/17/2013 12:00:00 AM,,,,,4074433,0.1200,3.0230
AL,9/17/2013 12:00:00 AM,,,,,656397,0.5041,1.9120
ALB,9/17/2013 12:00:00 AM,,,,,640965,-0.1568,-0.2680
ALBO,9/17/2013 12:00:00 AM,,,,,16061,3.0000,3.0490
ALCO,9/17/2013 12:00:00 AM,,,,,2683,0.3945,0.9630
ALE,9/17/2013 12:00:00 AM,,,,,140512,0.3602,0.9220
ALEX,9/17/2013 12:00:00 AM,,,,,101124,0.5091,2.3780
ALG,9/17/2013 12:00:00 AM,,,,,18538,0.0681,0.1500
ALGN,9/17/2013 12:00:00 AM,,,,,537250,1.7100,3.6970
ALGT,9/17/2013 12:00:00 AM,,,,,50140,1.2074,1.3610
ALK,9/17/2013 12:00:00 AM,,,,,707656,0.3568,1.2500
ALKS,9/17/2013 12:00:00 AM,,,,,404540,-0.6000,-1.6970
ALL,9/17/2013 12:00:00 AM,,,,,2518553,0.6198,1.3460
ALNY,9/17/2013 12:00:00 AM,,,,,315383,-0.0100,-0.0180
ALSN,9/17/2013 12:00:00 AM,,,,,295595,0.0822,0.3650
ALTR,9/17/2013 12:00:00 AM,,,,,2914515,0.3168,0.8720
ALX,9/17/2013 12:00:00 AM,,,,,27262,-0.1977,-0.0870
ALXN,9/17/2013 12:00:00 AM,,,,,418470,0.5000,0.4400
AMAG,9/17/2013 12:00:00 AM,,,,,40362,0.3800,1.5160
AMAT,9/17/2013 12:00:00 AM,,,,,10549008,-0.0415,-0.2820
AMBA,9/17/2013 12:00:00 AM,,,,,755796,0.1900,1.0670
AMBC,9/17/2013 12:00:00 AM,,,,,343799,0.0300,0.1500
AMCX,9/17/2013 12:00:00 AM,,,,,519897,2.7600,4.3990
AMD,9/17/2013 12:00:00 AM,,,,,25590718,0.0300,0.7850
AME,9/17/2013 12:00:00 AM,,,,,1703726,0.1451,0.3310
AMED,9/17/2013 12:00:00 AM,,,,,305368,0.2200,1.3010
AMG,9/17/2013 12:00:00 AM,,,,,251957,1.0494,0.5720
AMGN,9/17/2013 12:00:00 AM,,,,,3146011,-1.2875,-1.2370
AMH,9/17/2013 12:00:00 AM,,,,,531265,0.0189,0.1260
AMKR,9/17/2013 12:00:00 AM,,,,,788023,0.0300,0.7060
AMN,9/17/2013 12:00:00 AM,,,,,153989,0.2600,1.8620
AMNB,9/17/2013 12:00:00 AM,,,,,30188,0.9961,5.4050
AMOT,9/17/2013 12:00:00 AM,,,,,1191,-0.0098,-0.1230
AMP,9/17/2013 12:00:00 AM,,,,,1610178,0.6826,0.8320
AMPE,9/17/2013 12:00:00 AM,,,,,369519,-0.3300,-4.2360
AMRC,9/17/2013 12:00:00 AM,,,,,46546,0.2600,2.9680
AMRS,9/17/2013 12:00:00 AM,,,,,3202,-0.6000,-1.5040
AMRX,9/17/2013 12:00:00 AM,,,,,352700,0.3000,1.4570
AMSF,9/17/2013 12:00:00 AM,,,,,38392,0.5205,1.8990
AMSWA,9/17/2013 12:00:00 AM,,,,,24651,0.0489,0.7380
AMT,9/17/2013 12:00:00 AM,,,,,2935105,-0.3189,-0.4710
AMTD,9/17/2013 12:00:00 AM,,,,,2104048,0.3961,1.5940
AMWD,9/17/2013 12:00:00 AM,,,,,57248,0.6300,1.7380
AMZN,9/17/2013 12:00:00 AM,,,,,2297156,8.1100,2.7390
AN,9/17/2013 12:00:00 AM,,,,,965558,0.4400,0.8430
ANAT,9/17/2013 12:00:00 AM,,,,,49862,2.5029,2.8810
ANCX,9/17/2013 12:00:00 AM,,,,,26325,-0.0572,-0.5050
ANDE,9/17/2013 12:00:00 AM,,,,,116828,0.4084,0.9670
ANDV,9/17/2013 12:00:00 AM,,,,,2287303,0.0809,0.1980
ANF,9/17/2013 12:00:00 AM,,,,,2960866,0.9021,2.9190
ANGO,9/17/2013 12:00:00 AM,,,,,46926,0.0800,0.7070
ANH,9/17/2013 12:00:00 AM,,,,,722445,0.0285,1.0770
ANIK,9/17/2013 12:00:00 AM,,,,,154639,0.2600,1.0840
